mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,dataset_id,total_mean_auc
0.001176277796427409,1.2510855758138585e-05,0.0014909903208414714,1.591085553527286e-05,0.032352028870040635,0.249,"{'l1_ratio': 0.032352028870040635, 'alpha': 0.249}",0.7952213897930319,0.8101989389101286,0.8174156976744187,0.8076120087925265,0.009243591695816972,47,1489,0.8400813745232947
0.0011571248372395833,1.0777879402265349e-05,0.0014834403991699219,1.2484576665483519e-05,0.08021411859767398,0.897,"{'l1_ratio': 0.08021411859767398, 'alpha': 0.897}",0.7920004446942419,0.7892766924630502,0.8053139534883721,0.7955303635485548,0.007006838594644613,68,1489,0.8368676314389261
0.0011619726816813152,8.530662812038242e-06,0.0014893213907877605,1.047656078514277e-05,0.0022906932602184717,0.672,"{'l1_ratio': 0.0022906932602184717, 'alpha': 0.672}",0.7946346404461765,0.8112705285067537,0.8184069767441859,0.8081040485657054,0.009959951127029042,3,1489,0.8403086140508021
0.0011141300201416016,7.1073800771431515e-06,0.0013869603474934895,1.9764630183292847e-05,0.21763764082400594,0.901,"{'l1_ratio': 0.21763764082400594, 'alpha': 0.901}",0.5,0.5,0.5,0.5,0.0,84,1489,0.7622607874167642
0.001161019007364909,1.1819300310007788e-05,0.0014809767405192058,2.8366356368978416e-06,0.00323952947583758,0.5670000000000001,"{'l1_ratio': 0.00323952947583758, 'alpha': 0.5670000000000001}",0.7946500812184623,0.8111871483364111,0.8182936046511627,0.8080436114020121,0.00990506329852272,6,1489,0.840259911399677
0.0011172294616699219,6.743495761743045e-06,0.0014019012451171875,3.54119148830164e-05,0.8585654364376297,0.253,"{'l1_ratio': 0.8585654364376297, 'alpha': 0.253}",0.5,0.5,0.5,0.5,0.0,84,1489,0.7621430497022761
0.001161654790242513,9.469617268962834e-06,0.0014905929565429688,3.0594470588239285e-06,0.08304286338102411,0.795,"{'l1_ratio': 0.08304286338102411, 'alpha': 0.795}",0.7928682160966963,0.7913272270225868,0.8074534883720931,0.7972163104971255,0.007266063581904887,67,1489,0.8374320090783317
0.001157840092976888,4.094202318951689e-06,0.0015063285827636719,1.835771452603629e-05,0.0015008546692265607,0.888,"{'l1_ratio': 0.0015008546692265607, 'alpha': 0.888}",0.7944647919510343,0.8113477323681819,0.8185959302325582,0.8081361515172582,0.01010985154398166,1,1489,0.8403093922758489
0.001186052958170573,1.7774936115194028e-05,0.0014901161193847656,1.0791349194586777e-05,0.02720470510300195,0.105,"{'l1_ratio': 0.02720470510300195, 'alpha': 0.105}",0.7951225688504036,0.8110914155482399,0.8168284883720929,0.807680824256912,0.009183711496915766,45,1489,0.8402462441317676
0.0011665821075439453,1.3060174278890688e-05,0.0014896392822265625,5.1907398836796856e-06,0.014082038478293422,0.598,"{'l1_ratio': 0.014082038478293422, 'alpha': 0.598}",0.7948786046482902,0.8100105614882435,0.8182093023255814,0.8076994894873716,0.009663889964612274,43,1489,0.8400922179376077
0.0011711915334065754,1.2509341157246272e-05,0.001501321792602539,1.4729303513249268e-05,0.004245058056742281,0.8140000000000001,"{'l1_ratio': 0.004245058056742281, 'alpha': 0.8140000000000001}",0.794575965511491,0.8108906855085264,0.8185087209302326,0.8079917906500832,0.009983215548561405,12,1489,0.8402144382664559
0.0011630853017171223,2.433998240012098e-06,0.0014889240264892578,3.3264874675204516e-06,0.05478785758224749,0.999,"{'l1_ratio': 0.05478785758224749, 'alpha': 0.999}",0.7943567065450345,0.7944246459430915,0.8133197674418604,0.8007003733099954,0.008923302271093829,65,1489,0.8384971489892699
0.0011531511942545574,1.4217870070439217e-05,0.0015251636505126953,3.944560757132042e-05,0.22845786255732356,0.455,"{'l1_ratio': 0.22845786255732356, 'alpha': 0.455}",0.7863491220376879,0.7572309136613776,0.7948488372093023,0.7794762909694559,0.016108049709875245,75,1489,0.8330088584442766
0.0011547406514485676,1.434919840913438e-06,0.0015065670013427734,3.7293015183290056e-06,0.10083021990275583,0.717,"{'l1_ratio': 0.10083021990275583, 'alpha': 0.717}",0.7921517642626413,0.7884243618328813,0.8040872093023256,0.7948877784659495,0.00668059518323014,69,1489,0.8366922455205519
0.0011699199676513672,9.260549187530531e-06,0.0014971097310384114,8.51732553899691e-06,0.0010394240063021079,0.997,"{'l1_ratio': 0.0010394240063021079, 'alpha': 0.997}",0.7944122933252629,0.8113477323681821,0.818578488372093,0.8081128380218461,0.01012750880306793,2,1489,0.8402790346547724
0.0011448065439860027,4.1713637803634016e-05,0.0013877550760904949,7.886655317977446e-06,0.5703818579341343,0.797,"{'l1_ratio': 0.5703818579341343, 'alpha': 0.797}",0.5,0.5,0.5,0.5,0.0,84,1489,0.7477345838442472
0.0011751651763916016,1.1153981176244732e-05,0.0015036265055338542,3.669133778642666e-05,0.004581386520436876,0.455,"{'l1_ratio': 0.004581386520436876, 'alpha': 0.455}",0.7947489021610905,0.811159354946297,0.818142441860465,0.8080168996559509,0.00980546425402426,10,1489,0.8402439464091939
0.001179059346516927,1.321497690543802e-05,0.0014863014221191406,1.254513766442164e-05,0.003933420117408941,0.20600000000000002,"{'l1_ratio': 0.003933420117408941, 'alpha': 0.20600000000000002}",0.7948384586403474,0.8114712585464676,0.8174331395348836,0.8079142855738995,0.009560995196706413,21,1489,0.8403227017118069
0.0011206467946370442,1.3784818943905366e-05,0.0013837814331054688,7.294205923451593e-06,0.5321850912266085,0.756,"{'l1_ratio': 0.5321850912266085, 'alpha': 0.756}",0.5,0.5,0.5,0.5,0.0,84,1489,0.7537978833030823
0.0011715888977050781,1.2417618433624267e-05,0.0015009244283040364,1.832396679966879e-05,0.15072597846132887,0.337,"{'l1_ratio': 0.15072597846132887, 'alpha': 0.337}",0.7952090371752034,0.7937576045803507,0.8122848837209301,0.8004171751588282,0.008412631139367854,66,1489,0.8384465897459069
0.0011702378590901692,1.4610907483776596e-06,0.0014861424763997395,5.788985523056766e-06,0.0011140270662777544,0.312,"{'l1_ratio': 0.0011140270662777544, 'alpha': 0.312}",0.7947211087709763,0.8114712585464675,0.8179302325581396,0.8080408666251945,0.009780645796405536,7,1489,0.8402871266469094
