,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,dataset
26,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 285, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07099446950333937,0.9606597819815648,0.9085866995580225,phoneme
27,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1909, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07082546895570041,0.9610329854681228,0.9080320005481892,phoneme
28,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 738, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07078537980718216,0.9610958797601681,0.9085865282488779,phoneme
29,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1304, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07077326944681891,0.9610619417356604,0.9087718847432077,phoneme
30,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 181, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07128455446145616,0.9601565666817142,0.9065518895398637,phoneme
31,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 677, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07086032207340608,0.9610375661124422,0.9078464727447152,phoneme
32,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1602, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07076505272401543,0.9611171663091971,0.9078464727447152,phoneme
33,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1041, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07073077351087774,0.9611578219367859,0.9093267550621853,phoneme
34,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1971, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07081428165167253,0.9610659907431162,0.907847157981293,phoneme
35,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 991, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07074850592662205,0.961143014065159,0.9089567273101039,phoneme
36,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1078, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07072819371135391,0.961181794520973,0.9087717134340633,phoneme
37,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1679, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07078174207471088,0.9610998974826546,0.907661630177819,phoneme
38,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1632, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07077698104890676,0.961106440179886,0.9078466440538596,phoneme
39,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1414, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07077520798121475,0.9610841933334159,0.9084016856819817,phoneme
40,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1960, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07081696527468637,0.9610602124991457,0.9078469866721486,phoneme
41,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1717, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.0707981277989683,0.9610478821983198,0.9074766163017782,phoneme
42,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1391, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07078123935595952,0.9610825428062355,0.9085868708671668,phoneme
43,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1694, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07078152020833436,0.961083369033016,0.9078468153630042,phoneme
44,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 672, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07085519318527464,0.9610301592121806,0.9078464727447152,phoneme
45,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 958, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07074108066448848,0.9611553783941748,0.9089565560009593,phoneme
46,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 575, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07085581990365304,0.9610066121233158,0.9080318292390448,phoneme
