Iteracja;estimator__loss;estimator__max_depth;estimator__subsample;estimator__learning_rate;estimator__max_features;estimator__n_estimators;estimator__min_samples_split;Srednia dokladnosc;Czas
72;log_loss;11;0.4;0.21431099571326834;0.15000000000000002;1951;8;0.9548913043478262;4.72723617553711
73;exponential;11;0.7000000000000001;0.021262343752724643;0.2;4951;64;0.9527173913043478;52.195307874679564
74;exponential;11;0.9;0.004556754060844206;0.2;3151;8;0.9573369565217391;48.465969705581664
75;log_loss;15;0.5;0.09921256574801249;0.9000000000000001;951;2;0.9540760869565217;31.556528091430664
76;exponential;5;0.6;0.46293735614364534;0.9000000000000001;601;16;0.9497282608695652;10.670342397689819
77;log_loss;1;0.4;0.002109491677524035;0.6000000000000001;3651;32;0.9233695652173912;8.192374563217163
78;log_loss;13;0.4;0.21431099571326834;0.55;4601;64;0.9470108695652174;20.01796875
79;log_loss;7;0.8;0.021262343752724643;0.7000000000000001;4351;8;0.9543478260869565;110.03821454048156
80;log_loss;5;0.5;0.0098431332023037;0.9000000000000001;1901;64;0.9508152173913043;29.562068128585814
81;log_loss;13;1.0;0.0009765625;0.3;4151;64;0.9508152173913043;103.63779311180114
