param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,param_model__subsample,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
129,1,5,5,0.0515792600948508,0.7555854605267013,0.8530543022643176,0.004181080081251722,0.8557592975206612,0.8481021049681321,0.859118684801903,0.8487474077401647,0.8535440162907268
144,5,5,4,0.05131125470322051,0.7555988078278868,0.8533142544146738,0.0037056491520667625,0.8573650652033917,0.848204760415612,0.8572210974566623,0.8500430481563139,0.8537373008413891
131,5,5,4,0.05005806710658889,0.7555988078278868,0.853640723533427,0.00365015598481987,0.8574640106794033,0.8489350965828323,0.857752835891701,0.8500595513481429,0.8539921231650555
128,5,2,5,0.05207060121931419,0.7555988078278868,0.8529576980021976,0.003781300968300622,0.8549409010411075,0.8485874106939564,0.8588730949302755,0.8492906144949492,0.8530964688506981
130,5,1,5,0.05351582510750826,0.7555988078278868,0.8527768443209871,0.004146031460216079,0.8559991145218417,0.8475211366727214,0.858487088070542,0.8488676852399368,0.8530091970998928
98,2,5,8,0.41934520431559175,0.8496085646549193,0.8119389414751321,0.006434760329143011,0.812397141426067,0.8089003112110379,0.8229207516728363,0.8031723050707316,0.8123041979949874
142,1,1,5,0.05333015519361481,0.8881299539235012,0.8525720079957264,0.003825013664207667,0.8561852661801009,0.8483462962641809,0.8576311598163503,0.8485102093220097,0.85218710839599
14,9,2,4,0.07822082841050557,0.9897456804658684,0.8411779016371943,0.004326061214128017,0.8442346651282602,0.8357552000438594,0.8461102536288841,0.8362066602406781,0.8435827291442893
125,2,1,5,0.0508951454525906,0.7555988078278868,0.8530576792864168,0.0038204464038389236,0.8556167489535258,0.8481577682761661,0.8587024687096687,0.8498089266044319,0.8530024838882921
124,2,1,5,0.051244167056954004,0.7555988078278868,0.8532695209361989,0.003999904821053412,0.8557159739365318,0.8485490897230988,0.8594126653885551,0.8495314492096089,0.8531384264232007
122,1,1,5,0.05125577809095927,0.7555988078278868,0.8527457447660011,0.0037558802587416003,0.8555943883939752,0.8481021049681321,0.8578210863799437,0.8489015307689424,0.8533096133190119
123,4,1,5,0.05101945241140154,0.7555988078278868,0.853045700164263,0.004093246319161453,0.8564161389574613,0.8484892306883287,0.8587505797095774,0.8486771992461118,0.8528953522198354
146,10,5,3,0.15468214677339448,0.9762370863874817,0.8521455310728963,0.003637928469784381,0.854832452327287,0.8487742603912766,0.857607943461743,0.8479767925962766,0.8515362065878983
144,2,2,8,0.18345031927881345,0.808355063867024,0.8278115672021038,0.002886059581801161,0.8266788308110622,0.8266476758750749,0.8325144207127926,0.8239629701941167,0.8292539384174722
121,3,1,5,0.05115779973780934,0.7555988078278868,0.8531471623622565,0.00374137079828304,0.8557939563879646,0.8486310462520132,0.8584798154775324,0.8493963468087024,0.8534346468850698
48,9,4,1,0.3603957192849877,0.8447642240193571,0.8490088275010208,0.0035506447674993084,0.8509296961647167,0.8455469073857658,0.853034041889017,0.8440202222840081,0.8515132697815968
73,2,2,6,0.21843328249441224,0.8261171018443298,0.8373433214897187,0.003898847878809913,0.8353055346857,0.8334165019610827,0.8446683222071985,0.835700935311404,0.837625313283208
123,6,5,5,0.05131125470322051,0.7556220529122868,0.853186976727191,0.004077690369231018,0.8566570739866194,0.8479051855266448,0.8586669448899685,0.849558301860721,0.8531473773720013
121,6,5,5,0.051747287225096326,0.7556120799048885,0.8533071477215894,0.00400881769899724,0.8566215765983327,0.8487493657459749,0.8588593888896037,0.8490931356232303,0.8532122717508056
86,9,4,3,0.1422156591318658,0.8206749127363842,0.8533321326935355,0.0036222233681087418,0.85639629396086,0.848208956142348,0.8579077980658257,0.8503616436731517,0.8537859716254922
123,6,5,7,0.051244167056954004,0.7555988078278868,0.8506245079186563,0.004322894406791593,0.8543762969124539,0.8443116854346184,0.8558655980057431,0.8472291140918797,0.8513398451485858
84,4,1,6,0.06360586610269217,0.9805278654417983,0.8506476975819641,0.0038256465612769943,0.853804984615935,0.8458347342398713,0.8555092409482788,0.8466708027208447,0.8514187253848908
121,5,5,7,0.0512171903126236,0.7555988078278868,0.8504204654012403,0.004073567808081681,0.8533717487746415,0.8446339172479613,0.855769935436157,0.8470422643945594,0.8512844611528821
123,6,5,5,0.0509407158216467,0.7556559635143193,0.8530190408407806,0.0037744272653361804,0.8558719388393974,0.8479860231950962,0.858257441960512,0.8498100454648949,0.8531697547440029
120,5,5,5,0.051244167056954004,0.7555988078278868,0.8535171636254688,0.004136240470932146,0.8569614571035025,0.8484377631070308,0.8591519709006772,0.8495012399771081,0.8535333870390261
120,5,5,5,0.0512171903126236,0.7555988078278868,0.853287922800534,0.003912109648303749,0.8564899288039783,0.848497622141801,0.8587329576572852,0.8495935459653052,0.8531255594343
32,10,3,8,0.12221043974942047,0.9152793778770248,0.8467894686850226,0.003962491299146303,0.848162017906336,0.8425519976414422,0.8536396251146132,0.8434182753549165,0.8461754274078053
15,3,4,1,0.2481186887732713,0.7649860745623933,0.8329230597406928,0.00539261571515515,0.8359022821187077,0.8264280995092118,0.8398331667163627,0.8267075349098449,0.8357442154493377
120,5,5,5,0.05122221712550765,0.7527444190442307,0.8531070531672119,0.004346221780313884,0.855781099066223,0.8477919009047665,0.8595567186731656,0.8489448866118835,0.8534606605800215
104,9,4,8,0.0774853416800543,0.8822349822577208,0.8461965692998039,0.0038246808021210063,0.847893970698723,0.8424594119381291,0.8521901413848024,0.8417142508697742,0.8467250716075903
